Video ID,Title,Published Date,Views,Likes,Duration
GpDVcNSW6MM,Launching Class 12 JEE/NEET Batch - LAKSHYA 2027🔥,2026-03-21,620693,27019,02:00:56
-rGyxqZQ-IQ,🔥 PW Vidyapeeth LIVE Tour | Explained by Top PW Faculties - Ritik sir & Vipin sir,2026-03-13,270981,9329,01:20:00
ZgJl_QNoKwI,Launching All PW Batches for 2026 || JEE/NEET || Class 9 & 10 || UPSC,2026-03-01,675863,26239,00:44:06
yPltXq5247Q,Happy Vishwas Diwas 2026 || World’s Biggest Educational Festival🔥,2026-02-28,3482394,149886,04:32:09
v1kUoSGACPc,Vishwas Diwas 2026 - Official Trailer || Physics Wallah || Alakh Pandey ❤️,2026-02-26,345703,15085,00:01:16
jJR3prfXEFs,Learn Skills & Start Earning !! Coming Soon 🔥,2026-02-04,332303,21109,00:01:02
86duSctUDEM,NEW PLATFORM - Coming Soon !!,2026-02-01,768320,52791,00:00:54
MMlXxRUo5bo,Alakh sir ko Bharat Sarkar se Award Mila 🇮🇳🫡,2026-01-24,4695286,152091,00:00:21
xMF43jYohww,Justice for Patna NEET Student 🙏,2026-01-18,1662065,110708,00:01:30
bY1inb1Syyo,Largest MEETUP of IITIANS & DOCTORS🔥🔥🔥,2025-12-21,1586488,64546,09:23:17
Z0DuctiAHZA,PW ka OTT || Launching Pi - Universe of JEE/NEET @Rs300 !!,2025-11-01,833353,28449,00:36:51
xNbt9ecfa-A,India Taiyaar Hai - Kya Aap Taiyaar Ho? ⚡,2025-09-06,621466,34920,02:26:08
ysvweH-dQ70,Alakh Sir bringing biggest Surprise for All JEE NEET ASPIRANTS!! @pwtestseries,2025-08-04,958837,29198,01:20:41
odhFoSUKFTw,PRAYAS 2.0 - KATTAR JEE ADVANCED GANG for JEE Droppers 2026,2025-05-27,457088,20321,01:39:10
7JcJo_gAUAM,YAKEEN 2.0 - All Time Legendary Batch for NEET DROPPERS 2026,2025-05-10,1487735,75839,02:33:20
sqdwl8nfUXA,NEET 2025 PAPER TOUGH - Life Barbad? Family Pressure? Depression? || Let's Talk,2025-05-04,2266080,73314,01:32:36
Ax0kEUyZtAw,Complete ORGANIC CHEMISTRY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-05-02,435576,10446,10:29:46
jNOy11yq0gU,Complete PHYSICAL CHEMSITRY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-05-01,945674,23643,10:50:29
aHx9uJ_bpFQ,Complete BOTANY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-05-01,265235,7936,01:32:31
foXPyQSxGec,Complete ZOOLOGY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-04-30,922383,24689,06:54:01
QWrrzbKfrtA,Complete Class 11th PHYSICS Paper Decoding by MR Sir  - NEET 2025 || PhysicsWallah,2025-04-30,1690919,64262,06:12:24
o937H4LiJIk,Complete BOTANY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-04-29,1162286,39889,11:44:38
f8_iA_WMHbQ,Complete Class 12th PHYSICS Paper Decoding by MR Sir  - NEET 2025 || PhysicsWallah,2025-04-28,3921973,158699,10:46:06
dIMa925yLfY,Complete Class 11th PHYSICS in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-04-28,811229,18083,11:43:56
tBPMI4x9w3Q,Complete Class 11th PHYSICS in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-04-27,317266,8340,01:36:05
lCkKhRKDu8M,Complete INORGANIC CHEMISTRY in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-04-26,1010619,35307,04:56:45
3znerIFcpPY,Complete Class 12th PHYSICS in 1 Shot || All Concepts & PYQs || NEET 2025 MahaRevision,2025-04-25,1332224,32766,09:55:50
mL3ODKe3tC8,1st Class of Physics by MR Sir in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,2025-04-09,753847,25037,01:33:46
jHiQ4qnrmX0,1st Class of Zoology by Samapti Mam in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,2025-04-08,937297,32006,01:54:20
ps5L930FaRE,1st Class of Physical Chemistry by Sudhanshu Sir in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,2025-04-07,430383,20252,01:45:28
WU7ndZuq9Fs,1st Class of Botany by Rupesh Sir in Lakshya NEET Batch 🔥 || Class 12th NEET 2026,2025-04-07,506346,27560,01:51:41
mUNS4Fm0SAk,NEW Session NEW Beginning - Pathshala Batches,2025-04-04,222997,9889,01:19:31
gApF05Kk1FE,Biggest LAUNCH of Class 12 JEE/NEET🙏 Lakshya Batch,2025-03-26,640498,24205,01:40:10
znB_LwT9W44,"All About PW VIDYAPEETH (2025-26) || Teachers, Batches, Fees || Complete Detail",2025-03-15,767106,23425,00:57:11
